Timestamp,Fecha de la denuncia,Código CUI de la escuela,Casos positivos docentes,Casos positivos estudiantes,Casos positivos no docentes,Casos positivos familias/otrxs,Casos sospechosos docentes,Casos sospechosos estudiantes,Casos sospechosos no docentes,Casos sospechosos familias/otrxs,Se cerró la escuela?,Cantidad de burbujas aisladas
,,,,,,,,,,,,
3/6/2021 19:06:28,3/6/2021,200033,,1,,,,,,,No,
3/6/2021 19:07:28,3/6/2021,200423,,1,,,,,,,,
3/6/2021 19:08:21,3/6/2021,200143,,1,,,,,,,,
3/6/2021 19:09:47,3/6/2021,200833,,2,,,,,,,,
3/6/2021 19:10:41,3/6/2021,200764,,1,,,,,,,,
3/6/2021 19:12:02,3/6/2021,202686,,,,1,,,,,,
3/6/2021 19:13:49,3/6/2021,200281,1,,,,,,,,,1
3/6/2021 19:17:02,3/6/2021,200199,,1,,,,,,,,1
3/6/2021 19:20:49,3/6/2021,202595,,1,,,,,,,,1
3/6/2021 19:22:15,3/6/2021,200188,1,,,,,,,,Sí,
3/6/2021 19:23:26,3/6/2021,200261,,,,,2,,,,,2
3/6/2021 19:24:10,3/6/2021,200871,,,,,,1,,,,2
3/6/2021 19:29:37,3/6/2021,202659,1,,,,,,,,,1
3/6/2021 19:30:17,3/6/2021,200868,1,,,,,,,,,1
3/6/2021 19:32:00,3/6/2021,200860,,,,,,1,,,,2
3/6/2021 19:33:39,3/6/2021,202180,,1,,,,,,,,2
3/6/2021 19:34:25,3/6/2021,202659,,1,,,,,,,,1
3/6/2021 19:35:42,3/6/2021,200713,,1,,,,,,,,1
3/6/2021 19:36:31,3/6/2021,200814,,2,,,,3,,,,
3/6/2021 19:37:39,3/6/2021,200855,,1,,,,,,,,1
3/6/2021 19:40:02,3/6/2021,202179,,,,,,1,,1,,1
3/6/2021 19:41:08,3/6/2021,202659,,,,,1,,,,,1
3/6/2021 19:41:53,3/6/2021,200870,,1,,,,,,,,
3/6/2021 19:44:04,3/6/2021,200419,1,,,,,,,,,
3/6/2021 19:44:45,3/6/2021,200565,,1,,,,,,,,1
3/6/2021 19:46:07,3/6/2021,200527,,1,,,,,,,,
3/6/2021 19:52:45,3/6/2021,202562,,,,,,2,,,,2
3/6/2021 19:55:05,3/6/2021,200682,1,,,,,,,,,6
3/6/2021 19:55:42,3/6/2021,200923,1,,,,,,,,,
3/6/2021 19:56:31,3/6/2021,200085,,1,,,,,,,,2
3/6/2021 19:58:20,3/6/2021,200089,,,2,,,,,,,
3/6/2021 20:03:04,3/6/2021,200645,,1,,,,,,,,1
3/6/2021 20:03:50,3/6/2021,200662,,1,,,,,,,,1
3/6/2021 20:08:31,3/6/2021,200460,1,,,,,,,,,
3/6/2021 20:10:09,3/6/2021,200026,,,1,,,,,,,
3/6/2021 20:10:57,3/6/2021,202432,,,,,1,,,,,1
3/6/2021 20:11:41,3/6/2021,200957,,1,,,,,,,,1
3/6/2021 20:15:15,3/6/2021,202180,,,,,,2,,,,
3/6/2021 20:16:13,3/6/2021,200312,,1,,,,,,,,1
3/6/2021 20:17:49,3/6/2021,200791,,,,,,,,,,
3/6/2021 20:18:28,3/6/2021,200869,1,,,,,,,,,2
3/6/2021 20:19:42,3/6/2021,200102,,1,,,,,,,,
3/6/2021 20:20:41,3/6/2021,200305,,1,,,,,,,,1
3/6/2021 20:21:54,3/6/2021,202659,,,,,1,,,,,1
3/6/2021 20:22:41,3/6/2021,200946,,,,,1,1,,,,1
3/6/2021 20:23:20,3/6/2021,200361,,,,1,,,,,,1
3/6/2021 20:24:03,3/6/2021,202431,1,,,,,,,,,1
3/6/2021 20:24:46,3/6/2021,200875,1,,,,,,,,,
3/6/2021 20:25:21,3/6/2021,200104,,1,,,,,,,,3
3/6/2021 20:26:08,3/6/2021,200251,1,,,,,,,,,
